iter	Passed	Remaining
0	84	25252
1	99	14801
2	123	12208
3	142	10576
4	165	9787
5	185	9106
6	197	8281
7	207	7565
8	229	7435
9	237	6882
10	255	6722
11	274	6585
12	294	6499
13	317	6489
14	338	6433
15	356	6326
16	374	6228
17	385	6046
18	404	5979
19	411	5754
20	433	5764
21	446	5641
22	452	5454
23	475	5464
24	497	5472
25	517	5449
26	534	5406
27	555	5394
28	562	5255
29	584	5263
30	593	5148
31	612	5133
32	634	5134
33	653	5116
34	660	5003
35	680	4992
36	700	4977
37	720	4967
38	738	4940
39	758	4927
40	769	4859
41	780	4796
42	802	4794
43	825	4803
44	846	4796
45	866	4784
46	887	4779
47	909	4775
48	927	4753
49	942	4711
50	955	4663
51	978	4665
52	991	4622
53	1005	4582
54	1014	4519
55	1029	4486
56	1050	4477
57	1070	4467
58	1090	4455
59	1113	4454
60	1129	4426
61	1152	4422
62	1175	4420
63	1199	4423
64	1220	4411
65	1239	4393
66	1259	4379
67	1275	4351
68	1298	4346
69	1320	4340
70	1344	4337
71	1366	4328
72	1388	4318
73	1408	4302
74	1430	4290
75	1450	4274
76	1472	4263
77	1485	4228
78	1498	4190
79	1520	4182
80	1542	4171
81	1565	4161
82	1584	4142
83	1604	4125
84	1627	4116
85	1652	4111
86	1666	4079
87	1687	4064
88	1704	4041
89	1726	4027
90	1748	4015
91	1771	4004
92	1795	3996
93	1814	3975
94	1836	3962
95	1857	3946
96	1879	3933
97	1899	3915
98	1909	3876
99	1934	3868
100	1956	3855
101	1972	3829
102	1994	3814
103	2011	3790
104	2034	3777
105	2053	3758
106	2072	3737
107	2093	3721
108	2102	3683
109	2123	3667
110	2142	3647
111	2150	3609
112	2164	3582
113	2185	3565
114	2209	3554
115	2231	3539
116	2252	3522
117	2271	3503
118	2292	3486
119	2314	3472
120	2334	3454
121	2352	3432
122	2376	3420
123	2384	3384
124	2402	3363
125	2423	3346
126	2443	3328
127	2464	3311
128	2483	3292
129	2504	3274
130	2524	3257
131	2547	3242
132	2566	3222
133	2590	3208
134	2614	3195
135	2636	3179
136	2650	3153
137	2671	3135
138	2701	3128
139	2738	3129
140	2768	3122
141	2812	3129
142	2844	3122
143	2859	3097
144	2913	3114
145	2960	3123
146	2979	3101
147	3001	3082
148	3024	3065
149	3047	3047
150	3070	3029
151	3091	3009
152	3110	2988
153	3136	2973
154	3160	2956
155	3184	2939
156	3208	2922
157	3231	2904
158	3283	2912
159	3334	2917
160	3395	2931
161	3423	2915
162	3448	2898
163	3472	2879
164	3493	2858
165	3517	2839
166	3541	2820
167	3565	2801
168	3585	2779
169	3604	2756
170	3628	2737
171	3648	2715
172	3673	2696
173	3695	2676
174	3715	2654
175	3739	2634
176	3760	2613
177	3779	2590
178	3801	2569
179	3822	2548
180	3843	2526
181	3865	2506
182	3885	2484
183	3908	2464
184	3932	2444
185	3953	2423
186	3979	2404
187	4003	2385
188	4030	2367
189	4050	2344
190	4064	2319
191	4090	2300
192	4101	2273
193	4128	2255
194	4153	2236
195	4173	2214
196	4195	2193
197	4217	2172
198	4241	2152
199	4261	2130
200	4288	2112
201	4312	2092
202	4357	2082
203	4396	2069
204	4431	2053
205	4456	2033
206	4477	2011
207	4502	1991
208	4525	1970
209	4550	1950
210	4574	1929
211	4596	1908
212	4623	1888
213	4652	1869
214	4680	1850
215	4710	1831
216	4741	1813
217	4773	1795
218	4800	1775
219	4824	1754
220	4849	1733
221	4873	1712
222	4905	1693
223	4939	1675
224	4969	1656
225	4994	1635
226	5021	1614
227	5047	1593
228	5076	1573
229	5104	1553
230	5131	1532
231	5153	1510
232	5179	1489
233	5205	1468
234	5230	1446
235	5254	1424
236	5276	1402
237	5299	1380
238	5321	1358
239	5346	1336
240	5370	1314
241	5395	1293
242	5419	1271
243	5442	1249
244	5462	1226
245	5492	1205
246	5514	1183
247	5537	1160
248	5560	1138
249	5586	1117
250	5613	1095
251	5641	1074
252	5669	1053
253	5696	1031
254	5721	1009
255	5747	987
256	5777	966
257	5802	944
258	5831	923
259	5855	900
260	5879	878
261	5901	855
262	5925	833
263	5949	811
264	5974	789
265	5998	766
266	6021	744
267	6044	721
268	6068	699
269	6092	676
270	6114	654
271	6145	632
272	6171	610
273	6195	587
274	6219	565
275	6239	542
276	6261	519
277	6286	497
278	6307	474
279	6329	452
280	6349	429
281	6373	406
282	6398	384
283	6422	361
284	6445	339
285	6465	316
286	6486	293
287	6507	271
288	6529	248
289	6551	225
290	6574	203
291	6599	180
292	6623	158
293	6673	136
294	6697	113
295	6721	90
296	6740	68
297	6764	45
298	6790	22
299	6816	0
